provider,power,fuel,N
87.0,3.0,4.0,0.0
87.0,3.0,5.0,0.0
87.0,3.0,6.0,3.038045149059361
87.0,4.0,1.0,0.0
87.0,4.0,2.0,0.0
87.0,4.0,3.0,0.0
87.0,4.0,4.0,0.0
87.0,4.0,5.0,0.0
87.0,4.0,6.0,3.0378102298934238
87.0,5.0,1.0,0.0
87.0,5.0,2.0,0.0
87.0,5.0,3.0,0.0
87.0,5.0,4.0,0.0
87.0,5.0,5.0,0.0
87.0,5.0,6.0,0.0
87.0,6.0,1.0,0.0
87.0,6.0,2.0,0.0
87.0,6.0,3.0,0.0
87.0,6.0,4.0,0.0
87.0,6.0,5.0,0.0
87.0,6.0,6.0,0.0
87.0,7.0,1.0,0.0
87.0,7.0,2.0,0.0
87.0,7.0,3.0,0.0
87.0,7.0,4.0,0.0
87.0,7.0,5.0,0.0
87.0,7.0,6.0,3.037846503613961
87.0,8.0,1.0,0.0
87.0,8.0,2.0,0.0
87.0,8.0,3.0,0.0
87.0,8.0,4.0,0.0
87.0,8.0,5.0,0.0
87.0,8.0,6.0,0.0
87.0,9.0,1.0,0.0
87.0,9.0,2.0,0.0
87.0,9.0,3.0,0.0
87.0,9.0,4.0,0.0
87.0,9.0,5.0,0.0
87.0,9.0,6.0,0.0
87.0,10.0,1.0,0.0
87.0,10.0,2.0,0.0
87.0,10.0,3.0,0.0
87.0,10.0,4.0,0.0
87.0,10.0,5.0,0.0
87.0,10.0,6.0,0.0
87.0,11.0,1.0,0.0
87.0,11.0,2.0,0.0
87.0,11.0,3.0,0.0
87.0,11.0,4.0,0.0
87.0,11.0,5.0,0.0
87.0,11.0,6.0,1.4482940819687582
87.0,12.0,1.0,0.0
87.0,12.0,2.0,0.0
87.0,12.0,3.0,0.0
87.0,12.0,4.0,0.0
87.0,12.0,5.0,0.0
87.0,12.0,6.0,0.0
87.0,13.0,1.0,0.0
87.0,13.0,2.0,0.0
87.0,13.0,3.0,0.0
87.0,13.0,4.0,0.0
87.0,13.0,5.0,0.0
87.0,13.0,6.0,0.0
87.0,14.0,1.0,0.0
87.0,14.0,2.0,0.0
87.0,14.0,3.0,0.0
87.0,14.0,4.0,0.0
87.0,14.0,5.0,0.0
87.0,14.0,6.0,0.0
88.0,1.0,1.0,0.0
88.0,1.0,2.0,0.0
88.0,1.0,3.0,0.0
88.0,1.0,4.0,0.0
88.0,1.0,5.0,0.0
88.0,1.0,6.0,0.0
88.0,2.0,1.0,0.0
88.0,2.0,2.0,0.0
88.0,2.0,3.0,0.0
88.0,2.0,4.0,0.0
88.0,2.0,5.0,0.0
88.0,2.0,6.0,17.43512805373743
88.0,3.0,1.0,0.0
88.0,3.0,2.0,0.0
88.0,3.0,3.0,0.0
88.0,3.0,4.0,0.0
88.0,3.0,5.0,0.0
88.0,3.0,6.0,17.439236151317274
88.0,4.0,1.0,0.0
88.0,4.0,2.0,0.0
88.0,4.0,3.0,0.0
88.0,4.0,4.0,0.0
88.0,4.0,5.0,0.0
88.0,4.0,6.0,17.435913854152734
88.0,5.0,1.0,0.0
88.0,5.0,2.0,0.0
88.0,5.0,3.0,0.0
88.0,5.0,4.0,0.0
88.0,5.0,5.0,0.0
88.0,5.0,6.0,0.0
88.0,6.0,1.0,0.0
88.0,6.0,2.0,0.0
88.0,6.0,3.0,0.0
88.0,6.0,4.0,0.0
88.0,6.0,5.0,0.0
88.0,6.0,6.0,7.041104108927861
88.0,7.0,1.0,0.0
88.0,7.0,2.0,0.0
88.0,7.0,3.0,0.0
88.0,7.0,4.0,0.0
88.0,7.0,5.0,0.0
88.0,7.0,6.0,17.435203395309454
88.0,8.0,1.0,0.0
88.0,8.0,2.0,0.0
88.0,8.0,3.0,0.0
88.0,8.0,4.0,0.0
88.0,8.0,5.0,0.0
88.0,8.0,6.0,0.0
88.0,9.0,1.0,0.0
88.0,9.0,2.0,0.0
88.0,9.0,3.0,0.0
88.0,9.0,4.0,0.0
88.0,9.0,5.0,0.0
88.0,9.0,6.0,0.0
88.0,10.0,1.0,0.0
88.0,10.0,2.0,0.0
88.0,10.0,3.0,0.0
88.0,10.0,4.0,0.0
88.0,10.0,5.0,0.0
88.0,10.0,6.0,14.101117686053698
88.0,11.0,1.0,0.0
88.0,11.0,2.0,0.0
88.0,11.0,3.0,0.0
88.0,11.0,4.0,0.0
88.0,11.0,5.0,0.0
88.0,11.0,6.0,15.834343034236028
88.0,12.0,1.0,0.0
88.0,12.0,2.0,0.0
88.0,12.0,3.0,0.0
88.0,12.0,4.0,0.0
88.0,12.0,5.0,0.0
88.0,12.0,6.0,0.0
88.0,13.0,1.0,0.0
88.0,13.0,2.0,0.0
88.0,13.0,3.0,0.0
88.0,13.0,4.0,0.0
88.0,13.0,5.0,0.0
88.0,13.0,6.0,1.0555650039209472
88.0,14.0,1.0,0.0
88.0,14.0,2.0,0.0
88.0,14.0,3.0,0.0
88.0,14.0,4.0,0.0
88.0,14.0,5.0,0.0
88.0,14.0,6.0,0.0
89.0,1.0,1.0,0.0
89.0,1.0,2.0,0.0
89.0,1.0,3.0,0.0
89.0,1.0,4.0,0.0
89.0,1.0,5.0,0.0
89.0,1.0,6.0,0.0
89.0,2.0,1.0,0.0
89.0,2.0,2.0,0.0
89.0,2.0,3.0,0.0
89.0,2.0,4.0,0.0
89.0,2.0,5.0,0.0
89.0,2.0,6.0,13.823870778776453
89.0,3.0,1.0,0.0
89.0,3.0,2.0,0.0
89.0,3.0,3.0,0.0
89.0,3.0,4.0,0.0
89.0,3.0,5.0,0.0
89.0,3.0,6.0,13.826474116271383
89.0,4.0,1.0,0.0
89.0,4.0,2.0,0.0
89.0,4.0,3.0,0.0
89.0,4.0,4.0,0.0
89.0,4.0,5.0,0.0
89.0,4.0,6.0,13.824282889239333
89.0,5.0,1.0,0.0
89.0,5.0,2.0,0.0
89.0,5.0,3.0,0.0
89.0,5.0,4.0,0.0
89.0,5.0,5.0,0.0
89.0,5.0,6.0,0.0
89.0,6.0,1.0,0.0
89.0,6.0,2.0,0.0
89.0,6.0,3.0,0.0
89.0,6.0,4.0,0.0
89.0,6.0,5.0,0.0
89.0,6.0,6.0,3.4287102755186893
89.0,7.0,1.0,0.0
89.0,7.0,2.0,0.0
89.0,7.0,3.0,0.0
89.0,7.0,4.0,0.0
89.0,7.0,5.0,0.0
89.0,7.0,6.0,13.823887875056148
89.0,8.0,1.0,0.0
89.0,8.0,2.0,0.0
89.0,8.0,3.0,0.0
89.0,8.0,4.0,0.0
89.0,8.0,5.0,0.0
89.0,8.0,6.0,0.0
89.0,9.0,1.0,0.0
89.0,9.0,2.0,0.0
89.0,9.0,3.0,0.0
89.0,9.0,4.0,0.0
89.0,9.0,5.0,0.0
89.0,9.0,6.0,0.0
89.0,10.0,1.0,0.0
89.0,10.0,2.0,0.0
89.0,10.0,3.0,0.0
89.0,10.0,4.0,0.0
89.0,10.0,5.0,0.0
89.0,10.0,6.0,10.48913580945606
89.0,11.0,1.0,0.0
89.0,11.0,2.0,0.0
89.0,11.0,3.0,0.0
89.0,11.0,4.0,0.0
89.0,11.0,5.0,0.0
89.0,11.0,6.0,12.233353577496151
89.0,12.0,1.0,0.0
89.0,12.0,2.0,0.0
89.0,12.0,3.0,0.0
89.0,12.0,4.0,0.0
89.0,12.0,5.0,0.0
89.0,12.0,6.0,0.0
89.0,13.0,1.0,0.0
89.0,13.0,2.0,0.0
89.0,13.0,3.0,0.0
89.0,13.0,4.0,0.0
89.0,13.0,5.0,0.0
89.0,13.0,6.0,0.0
89.0,14.0,1.0,0.0
89.0,14.0,2.0,0.0
89.0,14.0,3.0,0.0
89.0,14.0,4.0,0.0
89.0,14.0,5.0,0.0
89.0,14.0,6.0,0.0
90.0,1.0,1.0,0.0
90.0,1.0,2.0,0.0
90.0,1.0,3.0,0.0
90.0,1.0,4.0,0.0
90.0,1.0,5.0,0.0
90.0,1.0,6.0,0.0
90.0,2.0,1.0,0.0
90.0,2.0,2.0,0.0
90.0,2.0,3.0,0.0
90.0,2.0,4.0,0.0
90.0,2.0,5.0,0.0
90.0,2.0,6.0,4.214306961378154
90.0,3.0,1.0,0.0
90.0,3.0,2.0,0.0
90.0,3.0,3.0,0.0
90.0,3.0,4.0,0.0
90.0,3.0,5.0,0.0
90.0,3.0,6.0,4.214597640282475
90.0,4.0,1.0,0.0
90.0,4.0,2.0,0.0
90.0,4.0,3.0,0.0
90.0,4.0,4.0,0.0
90.0,4.0,5.0,0.0
90.0,4.0,6.0,4.214242441147733
90.0,5.0,1.0,0.0
90.0,5.0,2.0,0.0
90.0,5.0,3.0,0.0
90.0,5.0,4.0,0.0
90.0,5.0,5.0,0.0
90.0,5.0,6.0,0.0
90.0,6.0,1.0,0.0
90.0,6.0,2.0,0.0
90.0,6.0,3.0,0.0
90.0,6.0,4.0,0.0
90.0,6.0,5.0,0.0
90.0,6.0,6.0,0.0
90.0,7.0,1.0,0.0
90.0,7.0,2.0,0.0
90.0,7.0,3.0,0.0
90.0,7.0,4.0,0.0
90.0,7.0,5.0,0.0
90.0,7.0,6.0,4.2142719874944845
90.0,8.0,1.0,0.0
90.0,8.0,2.0,0.0
90.0,8.0,3.0,0.0
90.0,8.0,4.0,0.0
90.0,8.0,5.0,0.0
90.0,8.0,6.0,0.0
90.0,9.0,1.0,0.0
90.0,9.0,2.0,0.0
90.0,9.0,3.0,0.0
90.0,9.0,4.0,0.0
90.0,9.0,5.0,0.0
90.0,9.0,6.0,0.0
90.0,10.0,1.0,0.0
90.0,10.0,2.0,0.0
90.0,10.0,3.0,0.0
90.0,10.0,4.0,0.0
90.0,10.0,5.0,0.0
90.0,10.0,6.0,0.0
90.0,11.0,1.0,0.0
90.0,11.0,2.0,0.0
90.0,11.0,3.0,0.0
90.0,11.0,4.0,0.0
90.0,11.0,5.0,0.0
90.0,11.0,6.0,2.6246325197904
90.0,12.0,1.0,0.0
90.0,12.0,2.0,0.0
90.0,12.0,3.0,0.0
90.0,12.0,4.0,0.0
90.0,12.0,5.0,0.0
90.0,12.0,6.0,0.0
90.0,13.0,1.0,0.0
90.0,13.0,2.0,0.0
90.0,13.0,3.0,0.0
90.0,13.0,4.0,0.0
90.0,13.0,5.0,0.0
90.0,13.0,6.0,0.0
90.0,14.0,1.0,0.0
90.0,14.0,2.0,0.0
90.0,14.0,3.0,0.0
90.0,14.0,4.0,0.0
90.0,14.0,5.0,0.0
90.0,14.0,6.0,0.0
108.0,1.0,1.0,0.0
108.0,1.0,2.0,0.0
108.0,1.0,3.0,0.0
108.0,1.0,4.0,0.0
108.0,1.0,5.0,0.0
108.0,1.0,6.0,0.0
108.0,2.0,1.0,0.0
108.0,2.0,2.0,0.0
108.0,2.0,3.0,0.0
108.0,2.0,4.0,0.0
108.0,2.0,5.0,0.0
108.0,2.0,6.0,26.047568120358008
108.0,3.0,1.0,0.0
108.0,3.0,2.0,0.0
108.0,3.0,3.0,0.0
108.0,3.0,4.0,0.0
108.0,3.0,5.0,0.0
108.0,3.0,6.0,26.051154759141838
108.0,4.0,1.0,0.0
108.0,4.0,2.0,0.0
108.0,4.0,3.0,0.0
108.0,4.0,4.0,0.0
108.0,4.0,5.0,0.0
108.0,4.0,6.0,26.048322608635512
108.0,5.0,1.0,0.0
108.0,5.0,2.0,0.0
108.0,5.0,3.0,0.0
108.0,5.0,4.0,0.0
108.0,5.0,5.0,0.0
108.0,5.0,6.0,0.0
108.0,6.0,1.0,0.0
108.0,6.0,2.0,0.0
108.0,6.0,3.0,0.0
108.0,6.0,4.0,0.0
108.0,6.0,5.0,0.0
108.0,6.0,6.0,15.654559674626947
108.0,7.0,1.0,0.0
108.0,7.0,2.0,0.0
108.0,7.0,3.0,0.0
108.0,7.0,4.0,0.0
108.0,7.0,5.0,0.0
108.0,7.0,6.0,26.047640926824478
108.0,8.0,1.0,0.0
108.0,8.0,2.0,0.0
108.0,8.0,3.0,0.0
108.0,8.0,4.0,0.0
108.0,8.0,5.0,0.0
108.0,8.0,6.0,8.354583617754066
108.0,9.0,1.0,0.0
108.0,9.0,2.0,0.0
108.0,9.0,3.0,0.0
108.0,9.0,4.0,0.0
108.0,9.0,5.0,0.0
108.0,9.0,6.0,0.0
108.0,10.0,1.0,0.0
108.0,10.0,2.0,0.0
108.0,10.0,3.0,0.0
108.0,10.0,4.0,0.0
108.0,10.0,5.0,0.0
108.0,10.0,6.0,22.713721355560605
108.0,11.0,1.0,0.0
108.0,11.0,2.0,0.0
108.0,11.0,3.0,0.0
108.0,11.0,4.0,0.0
108.0,11.0,5.0,0.0
108.0,11.0,6.0,24.456859437619855
108.0,12.0,1.0,0.0
108.0,12.0,2.0,0.0
108.0,12.0,3.0,0.0
108.0,12.0,4.0,0.0
